"Date","Depth","TP_interp"
2014-07-07,1,17.1
2014-07-07,1.6,15.7
2014-07-07,2.8,21.1
2014-07-07,3.8,8
2014-07-07,5,13.3
2014-07-07,5.2,NA
2014-07-07,5.5,NA
2014-07-07,5.8,NA
2014-07-07,6,NA
2014-07-07,6.2,18.1
2014-07-07,8,22.3
2014-07-07,9,23.5
2014-07-07,9.3,NA
2014-07-09,0.1,17.65
2014-07-09,1,18.2
2014-07-09,1.6,20.05
2014-07-09,2.8,21.1
2014-07-09,3.8,14.65
2014-07-09,5,18.7
2014-07-09,5.2,NA
2014-07-09,5.5,NA
2014-07-09,5.8,NA
2014-07-09,6,NA
2014-07-09,6.2,21.15
2014-07-09,8,23.95
2014-07-09,9,25.6
2014-07-09,9.3,NA
2014-07-14,0.1,15.1
2014-07-14,1,19.3
2014-07-14,1.6,24.4
2014-07-14,2.8,21.1
2014-07-14,3.8,21.3
2014-07-14,5,24.1
2014-07-14,5.2,NA
2014-07-14,5.5,NA
2014-07-14,5.8,NA
2014-07-14,6,NA
2014-07-14,6.2,24.2
2014-07-14,8,25.6
2014-07-14,9,27.7
2014-07-14,9.3,NA
2014-07-16,0.1,13.1
2014-07-16,1,16.75
2014-07-16,1.6,18.85
2014-07-16,2.8,26.8
2014-07-16,3.8,18.7
2014-07-16,5,20.6
2014-07-16,5.2,NA
2014-07-16,5.5,NA
2014-07-16,5.8,NA
2014-07-16,6,NA
2014-07-16,6.2,19.8
2014-07-16,8,20.3
2014-07-16,9,22.35
