"Date","Depth","Temp_interp","DO_mgL_interp","Chla_interp","Turb_NTU_interp","SpCond_uScm_interp"
2013-07-11,5.8,12.6156,7.94585,3.8206,1.8345,43.0447119838792
2013-07-11,6,12.1981,7.98126,3.5191,1.5156,42.545925973705
2013-07-11,6.2,11.4363,8.18812,3.2493,1.8177,43.2586100560492
2013-07-11,8,10.4522,7.27893,2.0869,0.6932,41.2383483677377
2013-07-11,9,10.304,6.98551,1.9956,2.1367,41.7822168689171
2013-07-11,9.3,10.2905,7.06448,1.8726,3.3116,42.4096912510289
2013-07-15,0.1,23.6396,7.36561,3.8999,5.9133,35.6461363749578
2013-07-15,1,21.71,8.29396,4.7688,5.6279,35.9752049007588
2013-07-15,1.6,20.3264,8.45387,7.6768,7.491,36.0289287026257
2013-07-15,2.8,18.857,8.72596,7.054,6.9539,37.1892987708752
2013-07-15,3.8,16.6329,8.1352,8.0061,5.6447,41.7826625764253
2013-07-15,5,12.8347,7.88975,5.1973,2.5059,43.617032959224
2013-07-15,5.2,12.2517,7.84434,4.86,2.5227,43.1003252353873
2013-07-15,5.5,12.0212,7.4893,3.4675,2.2374,43.5799196739731
2013-07-15,5.8,11.8186,6.94655,3.4,2.3213,43.1921518908371
2013-07-15,6,11.4486,6.56493,3.6421,1.4653,42.8117941801771
2013-07-15,6.2,11.2678,6.37774,3.162,1.482,42.9102795228585
2013-07-15,8,10.6249,5.65129,2.1384,1.1296,41.930254621227
2013-07-15,9,10.3828,5.38934,1.702,3.7816,42.2710762042802
2013-07-15,9.3,10.3391,5.18847,1.5552,5.3761,43.5710325170056
2013-07-18,0.1,26.7469,6.842,3.1779,4.5873,36.9850476664222
2013-07-18,1,24.09,6.94825,4.9156,5.2419,37.8368126405046
2013-07-18,1.6,21.1256,7.72414,7.9506,5.9636,37.3170656692746
2013-07-18,2.8,19.006,7.93597,7.8752,6.5679,37.9715229991691
2013-07-18,3.8,16.3183,7.74132,10.4103,5.4265,43.446171593302
2013-07-18,5,12.7367,7.82819,6.5263,2.0695,43.2147499662987
2013-07-18,5.2,12.9919,7.3583,5.4789,1.8681,43.674388771
2013-07-18,5.5,12.8057,7.29007,4.4157,1.7338,43.0791128542903
2013-07-18,5.8,12.1276,7.0028,3.8801,1.5828,42.5019183512983
2013-07-18,6,11.7618,6.73272,3.0946,1.566,42.5853280031792
2013-07-18,6.2,11.5303,6.62853,2.4558,1.7674,42.6004781045699
2013-07-18,8,10.7223,5.5661,2.0194,1.5324,42.4384376796939
2013-07-18,9,10.4812,5.69266,1.3331,5.7118,45.3567743731995
2013-07-18,9.3,10.5049,5.80959,1.3212,6.4839,46.9597275971153
2013-07-22,0.1,25.6721,5.63641,3.9475,3.0598,36.1648073894133
2013-07-22,1,25.7582,5.68543,4.7013,3.6137,36.1654664576377
2013-07-22,1.6,24.7109,6.31659,7.046,4.9062,37.2235433338161
2013-07-22,2.8,18.9982,7.83569,11.4379,5.6951,38.3821736832293
2013-07-22,3.8,15.7222,8.66494,7.4824,4.0669,43.3103791882202
2013-07-22,5,12.822,6.7318,9.0138,1.801,42.8167871209833
2013-07-22,5.2,12.4566,6.52277,6.0661,1.5492,43.6881482477616
2013-07-22,5.5,11.9612,5.89636,4.4554,1.7674,42.0233945686403
2013-07-22,5.8,11.5774,5.59172,2.7018,2.3045,42.2929295567191
2013-07-22,6,11.3421,5.46757,2.5074,2.6234,42.496275811165
2013-07-22,6.2,11.3548,5.20972,2.2535,1.482,42.9334016864043
2013-07-22,8,10.4698,4.77154,1.6941,1.4988,42.6056410841438
2013-07-22,9,10.3509,5.23554,1.3688,4.839,43.1165573101076
2013-07-22,9.3,10.3509,5.23554,1.3688,4.839,43.1165573101076
2013-07-25,0.1,25.5124,6.46523,3.0787,2.4556,37.2629445240146
2013-07-25,1,25.5099,6.23613,3.5111,2.7073,37.4068166460704
2013-07-25,1.6,23.7029,6.81501,4.9592,3.9494,38.2145587903531
2013-07-25,2.8,19.1041,7.57587,15.5124,4.9733,38.731913202688
2013-07-25,3.8,16.1911,8.87283,9.6129,4.2516,43.4169372597904
2013-07-25,5,12.6316,9.11915,11.422,1.8849,43.7897377560144
2013-07-25,5.2,12.3795,9.09706,9.4264,2.1702,43.8056366015373
2013-07-25,5.5,11.7272,8.49878,5.6376,2.1534,43.1814662314348
2013-07-25,5.8,11.5291,8.55097,4.6855,2.1031,43.7362379055578
2013-07-25,6,11.3559,7.64749,4.1538,2.3716,43.3786031979624
2013-07-25,6.2,11.2585,7.68383,3.2175,2.4556,43.6069847852451
2013-07-25,8,10.6168,4.93921,2.5391,1.9017,43.0595991996921
2013-07-25,9,10.4625,4.81264,1.8806,4.9901,43.4987275618784
