time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2018-08-20 13:00,149.251147540984,439.718032786885,22.37,92.1,1.50881967213115,0,0
2018-08-20 14:00,212.460491803279,439.165573770492,22.5,92.4,1.78475409836066,0,0
2018-08-20 15:00,178.506393442623,439.229508196721,22.36,93,1.28029508196721,0,0
2018-08-20 16:00,148.645901639344,431,22.78,91.8,1.01565573770492,0,0
2018-08-20 17:00,66.36,432.575409836066,22.89,90.4,0.685573770491803,0,0
2018-08-20 18:00,15.929262295082,429.355737704918,23.01,92,0.351737704918033,0,0
2018-08-20 19:00,0,426.229508196721,22.78,92.2,0.479573770491803,0,0
2018-08-20 20:00,0,433.759016393443,22.56,92,0.711180327868852,0,0
2018-08-20 21:00,0,437.159016393443,22.46,95.6,0.819573770491803,0,0
2018-08-20 22:00,0,439.103278688525,22.31,97.6,0.745213114754098,0,0
2018-08-20 23:00,0,441.611475409836,22.43,98,0.760393442622951,0.03048,0
2018-08-21 00:00,0,441.006557377049,22.27,99.6,0.643295081967213,0,0
2018-08-21 01:00,0,441.155737704918,22.04,99.8,0.770590163934426,0.006096,0
2018-08-21 02:00,0,440.868852459016,21.88,99.7,0.832016393442623,0,0
2018-08-21 03:00,0,439.954098360656,21.73,99.8,0.655114754098361,0,0
2018-08-21 04:00,0,441.465573770492,21.83,99.7,0.826573770491803,0,0
2018-08-21 05:00,0.369655737704918,441.245901639344,21.78,99.8,0.841622950819672,0,0
2018-08-21 06:00,29.9085573770492,441.826229508197,21.93,99.7,0.954475409836066,0,0
2018-08-21 07:00,44.8093442622951,443.547540983607,22.09,99.8,1.42119672131148,0,0
2018-08-21 08:00,101.899344262295,445.27868852459,22.21,99.7,1.33185245901639,0,0
2018-08-21 09:00,217.28737704918,450.501639344262,22.63,99.7,1.68411475409836,0,0
2018-08-21 10:00,353.686885245902,447.583606557377,23.97,98,2.11006557377049,0,0
2018-08-21 11:00,317.12131147541,445.990163934426,29.42,92.1,1.92511475409836,0,0
2018-08-21 12:00,305.139344262295,450.875409836066,35.47,92.9,2.05073770491803,0,0
2018-08-21 13:00,299.527868852459,452.03606557377,36.58,94.6,1.38790163934426,0,0
2018-08-21 14:00,133.111770491803,463.122950819672,30.2,89.3,1.99860655737705,0.115824,0
2018-08-21 15:00,97.6224590163934,449.286885245902,21.94,95.5,0.929754098360656,0.006096,0
2018-08-21 16:00,175.859016393443,445.190163934426,22.92,100,0.773754098360656,0,0
2018-08-21 17:00,127.974262295082,448.659016393443,26.84,100,0.987737704918033,0,0
2018-08-21 18:00,5.16437704918033,447.393442622951,26.86,100,1.0103606557377,0.1524,0
2018-08-21 19:00,0.216426229508197,431.308196721311,21.7,93.6,0.784754098360656,0.006096,0
2018-08-21 20:00,0,431.855737704918,21.39,99.8,0.890819672131148,0.006096,0
2018-08-21 21:00,0,430.591803278689,21.43,98.9,1.0172131147541,0,0
2018-08-21 22:00,0,423.913114754098,21.08,99.8,2.66975409836066,0,0
2018-08-21 23:00,0,422.618032786885,21.76,92.7,1.92326229508197,0,0
2018-08-22 00:00,0,420.901639344262,21.54,91.4,2.74808196721311,0,0
2018-08-22 01:00,0,417.452459016393,21.2,92.3,2.09611475409836,0,0
2018-08-22 02:00,0,411.345901639344,20.74,94.2,2.59772131147541,0,0
2018-08-22 03:00,0,400.772131147541,20.67,93.5,2.64565573770492,0,0
2018-08-22 04:00,0,388.588524590164,20.89,90.8,2.09191803278689,0,0
2018-08-22 05:00,0,370.106557377049,21.11,88.5,2.80750819672131,0,0
2018-08-22 06:00,25.2659016393443,371.608196721311,20.97,88,2.51639344262295,0,0
2018-08-22 07:00,143.670983606557,382.43606557377,21.26,87,2.15427868852459,0,0
2018-08-22 08:00,296.172131147541,412.168852459016,22.97,81.3,1.53719672131148,0,0
2018-08-22 09:00,394.032786885246,439.56393442623,24.68,76.93,1.12229508196721,0,0
2018-08-22 10:00,235.731147540984,446.068852459016,32.27,82.8,1.78801639344262,0,0
2018-08-22 11:00,813.898360655738,414.33606557377,30.2,76.13,1.5926393442623,0,0
2018-08-22 12:00,959.645901639344,403.514754098361,31.9,68.51,3.07175409836066,0,0
2018-08-22 13:00,845.675409836066,398.5,31.52,62.91,2.42570491803279,0,0
2018-08-22 15:00,520.527868852459,391.27868852459,30.02,60.54,2.00054098360656,0,0
2018-08-22 16:00,227.596721311475,396.937704918033,28.83,57.7,1.59037704918033,0,0
2018-08-22 17:00,106.140983606557,396.790163934426,28.91,64.53,1.05154098360656,0,0
2018-08-22 18:00,33.9326229508197,392.481967213115,26.32,74.64,0.803459016393443,0,0
2018-08-22 19:00,0,375.168852459016,21.58,79.41,2.29545901639344,0,0
2018-08-22 20:00,0,367.595081967213,22.48,66.14,4.713,0,0
2018-08-22 21:00,0,352.344262295082,21.79,62.27,3.59132786885246,0,0
2018-08-22 22:00,0,342.044262295082,20.51,62.08,4.09977049180328,0,0
2018-08-22 23:00,0,334.375409836066,19.74,62.45,5.33780327868852,0,0
2018-08-23 00:00,0,332.373770491803,19.07,67.17,2.99570491803279,0,0
2018-08-23 01:00,0,324.698360655738,18.61,69.73,3.34813114754098,0,0
2018-08-23 02:00,0,323.729508196721,26.21,79.41,1.81847540983607,0,0
2018-08-23 03:00,0,321.349180327869,30.64,81.9,2.21924590163934,0,0
2018-08-23 04:00,0,320.247540983607,18.17,89.4,0.764393442622951,0,0
2018-08-23 05:00,0,315.418032786885,15.91,94.4,2.12773770491803,0,0
2018-08-23 06:00,22.6825409836066,310.563934426229,14.67,99,2.92162295081967,0,0
2018-08-23 07:00,138.942131147541,308.762295081967,16.4,76.38,3.50491803278689,0,0
2018-08-23 08:00,312.58131147541,320.832786885246,18.29,66.28,4.93260655737705,0,0
2018-08-23 09:00,725.801639344262,329.559016393443,19.37,56.79,7.48340983606557,0,0
2018-08-23 10:00,859.096721311475,336.108196721311,19.66,52.07,4.83283606557377,0,0
2018-08-23 11:00,944.72131147541,342.909836065574,20.27,47.32,3.7032131147541,0,0
2018-08-23 12:00,962.196721311475,349.486885245902,21.71,45.67,1.92245901639344,0,0
2018-08-23 13:00,757.293442622951,369.814754098361,23.67,41.73,1.17631147540984,0,0
2018-08-23 14:00,808.572131147541,365.56393442623,27.48,45.42,1.10829508196721,0,0
2018-08-23 15:00,555.090163934426,362.570491803279,28.46,48.21,1.01285245901639,0,0
2018-08-23 16:00,399.258196721311,368.986885245902,33.77,66.74,1.28118032786885,0,0
2018-08-23 17:00,81.942131147541,385.177049180328,21.78,70.28,1.27019672131148,0,0
2018-08-23 18:00,14.6198524590164,355.393442622951,19.81,76.8,0.529098360655738,0,0
2018-08-23 19:00,0,344.596721311475,18.8,84.5,1.58788524590164,0,0
2018-08-23 20:00,0,338.680327868852,16.59,93.5,1.65454098360656,0,0
2018-08-23 21:00,0,333.860655737705,17.97,96.8,1.7123606557377,0,0
2018-08-23 22:00,0,330.065573770492,18.5,97.2,1.99985245901639,0,0
2018-08-23 23:00,0,327.611475409836,22.64,100,1.64504918032787,0,0
2018-08-24 00:00,0,325.040983606557,18.34,100,1.87340983606557,0,0
2018-08-24 01:00,0,321.9,16.69,99.6,1.8146393442623,0,0
2018-08-24 02:00,0,319.645901639344,14.31,98,1.97295081967213,0,0
2018-08-24 03:00,0,318.168852459016,14.21,99.5,2.13322950819672,0,0
2018-08-24 04:00,0,316.632786885246,14.27,99.8,2.35370491803279,0,0
2018-08-24 05:00,0,314.852459016393,13.95,100,2.23168852459016,0,0
2018-08-24 06:00,18.5856229508197,313.650819672131,14.06,100,1.7307868852459,0,0
2018-08-24 07:00,130.13737704918,314.077049180328,14.15,98.7,0.807836065573771,0,0
2018-08-24 08:00,295.54262295082,326.939344262295,17.59,84.9,0.816655737704918,0,0
2018-08-24 09:00,694.759016393443,345.993442622951,19.36,69.59,1.81614754098361,0,0
2018-08-24 10:00,832.368852459016,354.54262295082,22.8,54.95,2.01214754098361,0,0
2018-08-24 11:00,831.119672131148,365.76393442623,26.27,56.82,1.67472131147541,0,0
2018-08-24 12:00,648.581967213115,375.186885245902,25.97,54.53,1.52001639344262,0,0
2018-08-24 13:00,892.159016393443,364.304918032787,26.56,54.73,1.81039344262295,0,0
2018-08-24 14:00,778.422950819672,361.809836065574,37.6,61.47,1.34459016393443,0,0
2018-08-24 15:00,665.531147540984,358.134426229508,34.07,58.26,1.7126393442623,0,0
2018-08-24 16:00,460.445901639344,359.359016393443,32,54.63,1.54013114754098,0,0
2018-08-24 17:00,60.5439344262295,370.034426229508,31.02,55.43,0.84127868852459,0,0
2018-08-24 18:00,13.1266885245902,359.64262295082,22.58,72.42,1.37096721311475,0,0
2018-08-24 19:00,0,347.693442622951,18.41,87,1.5482131147541,0,0
2018-08-24 20:00,0,338.537704918033,17.72,91.9,1.52950819672131,0,0
2018-08-24 21:00,0,336.506557377049,17.18,93.1,0.969508196721311,0,0
2018-08-24 22:00,0,335.375409836066,16.87,88.9,1.04408196721311,0,0
2018-08-24 23:00,0,338.567213114754,16.61,93.4,1.38985245901639,0,0
2018-08-25 00:00,0,350.285245901639,15.84,97.2,1.54267213114754,0,0
2018-08-25 01:00,0,341.611475409836,16.32,98.3,1.5167868852459,0,0
2018-08-25 02:00,0,345.683606557377,16.1,98,1.14388524590164,0,0
2018-08-25 03:00,0,337.55737704918,17.25,98.2,0.59616393442623,0,0
2018-08-25 04:00,0,342.937704918033,16.83,98.9,0.53016393442623,0,0
