Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,100,2015-06-08,0.1,176,15.2,14,76,8,1.6,0,0,0,0,0,0
FCR,50,2015-06-15,0.1,155,12.7,9,2,7,2.2,0,0,0,0,0,0
FCR,100,2015-06-15,0.1,165,22,11,70,9,NA,0,0,0,0,0,0
FCR,50,2015-06-22,0.1,160,11.2,12,7,7,2.9,0,0,0,0,0,0
FCR,100,2015-06-22,0.1,176,22.6,7,67,8,1.8,0,0,0,0,0,0
FCR,100,2015-06-24,0.1,NA,NA,NA,NA,NA,1.5,0,0,0,0,0,0
FCR,50,2015-06-29,0.1,169,13.6,12,3,6,2.5,0,0,0,0,0,0
FCR,100,2015-06-29,0.1,180,16,5,74,11,NA,0,0,0,0,0,0
FCR,50,2015-07-06,0.1,357,13.6,7,4,5,2.9,0,0,7,7,7,0
FCR,100,2015-07-06,0.1,200,25.1,6,46,11,2,0,0,0,0,0,0
FCR,50,2015-07-13,0.1,732.9,18.4,253,12,8,7.6,0,0,0,0,0,0
FCR,100,2015-07-13,0.1,223,25.7,7,31,12,3.2,0,0,0,0,0,0
FCR,50,2015-07-20,0.1,260,15.9,13,4,8,3.3,0,0,7,7,7,0
FCR,100,2015-07-20,0.1,192,19.1,5,68,8,1.7,0,0,0,0,0,0
FCR,50,2015-07-27,0.1,NA,NA,134,5,6,3.1,0,0,0,0,0,0
FCR,100,2015-07-27,0.1,305,20.7,5,105,10,NA,0,0,0,0,0,0
FCR,50,2015-08-03,0.1,201,14.6,1,2,7,3,0,0,0,0,0,0
FCR,100,2015-08-03,0.1,219,NA,7,109,11,1.5,0,0,0,0,0,0
FCR,50,2015-08-10,0.1,213,16.8,12,1,6,3.2,0,0,0,0,0,0
FCR,100,2015-08-10,0.1,219,19.3,5,128,13,1.4,0,0,0,0,0,0
FCR,50,2015-08-17,0.1,210,16.4,3,0,10,3.2,0,0,0,3,0,0
FCR,100,2015-08-17,0.1,174,9.2,4,96,14,1.7,0,0,0,0,0,0
FCR,50,2015-08-24,0.1,281.9,20.1,2,2,8,3.3,0,0,0,0,0,0
FCR,100,2015-08-24,0.1,232.7,22.9,5,111,13,1.3,0,0,0,0,0,0
FCR,50,2015-08-31,0.1,296.4,20.2,3,3,8,4,0,0,0,0,0,0
FCR,100,2015-08-31,0.1,NA,NA,1,102,10,NA,0,0,0,0,0,0
FCR,50,2015-09-07,0.1,330.1,25.3,3,2,12,3.6,0,0,0,0,0,0
FCR,100,2015-09-07,0.1,204.4,27.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2015-09-14,0.1,306.7,24.8,6,2,10,18.3,0,0,0,0,0,0
FCR,100,2015-09-14,0.1,181.2,13.4,4,100,15,1.5,0,0,0,0,0,0
FCR,50,2015-09-21,0.1,306,24.9,5,7,10,4.4,0,0,0,0,0,0
FCR,100,2015-09-21,0.1,461.1,74.1,9,62,15,NA,0,0,0,0,0,0
FCR,50,2015-09-28,0.1,234,18.9,3,1,6,NA,0,0,0,0,0,0
FCR,100,2015-09-28,0.1,148.5,10.4,2,10,4,NA,0,0,0,0,0,0
FCR,50,2015-10-05,0.1,225,15.8,32,4,7,NA,0,0,0,0,0,0
FCR,100,2015-10-05,0.1,180,14.3,2,9,5,NA,0,0,0,0,0,0
FCR,50,2015-10-19,0.1,201,14.7,13,4,7,NA,0,0,0,0,0,0
FCR,100,2015-10-19,0.1,152,9.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2015-11-09,0.1,176,14.6,3,NA,8,NA,0,0,0,4,0,0
FCR,100,2015-11-09,0.1,122,8.7,5,13,8,NA,0,0,0,0,0,0
FCR,50,2015-12-07,0.1,156,13.8,4,5,6,NA,0,0,0,0,0,0
FCR,100,2015-12-07,0.1,163,12.6,3,7,NA,NA,0,0,0,0,0,0
FCR,50,2016-01-11,0.1,NA,NA,7,3,5,2,0,0,0,0,0,0
FCR,100,2016-01-11,0.1,NA,NA,5,14,6,1.7,0,0,0,0,0,0
FCR,50,2016-02-05,0.1,NA,NA,7,11,5,1.8,0,0,0,0,0,0
FCR,100,2016-02-05,0.1,NA,NA,11,17,8,2.3,0,0,0,0,0,0
FCR,50,2016-03-30,0.1,104.5,16.4,11,6,7,2.2,0,0,0,0,0,0
FCR,100,2016-03-30,0.1,NA,NA,3,18,5,1.4,0,0,0,0,0,0
FCR,50,2016-04-05,0.1,NA,NA,NA,NA,NA,1.8,0,0,0,0,0,0
FCR,100,2016-04-05,0.1,NA,NA,NA,NA,NA,2.3,0,0,0,0,0,0
FCR,50,2016-04-11,0.1,124,12.6,4,3,7,1.6,0,0,0,0,0,0
FCR,100,2016-04-11,0.1,159,17.3,3,14,7,1.6,0,0,0,0,0,0
FCR,50,2016-04-18,0.1,123,11.6,5,4,8,1.5,0,0,0,0,0,0
FCR,100,2016-04-18,0.1,NA,NA,7,17,7,1.6,0,0,0,0,0,0
FCR,50,2016-04-25,0.1,154,22,5,0,5,1.6,0,0,0,3,0,0
FCR,100,2016-04-25,0.1,NA,NA,3,14,6,1.4,0,0,0,0,0,0
FCR,50,2016-05-02,0.1,140,17.7,6,3,7,1.7,0,0,0,0,0,0
FCR,100,2016-05-02,0.1,188,28.3,7,26,9,1.6,0,0,0,0,0,0
FCR,50,2016-05-09,0.1,124,13.4,4,2,6,1.9,0,0,0,0,0,0
FCR,100,2016-05-09,0.1,NA,NA,4,26,7,1.8,0,0,0,0,0,0
FCR,50,2016-05-16,0.1,134,14.8,8,0,12,1.5,0,0,0,3,0,0
FCR,50,2016-05-23,0.1,170,15.6,22,2,10,1.7,0,0,0,0,0,0
FCR,100,2016-05-23,0.1,180,20.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-05-30,0.1,152,17.6,3,2,10,1.6,0,0,0,0,0,0
FCR,100,2016-05-30,0.1,208,28.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-05-30,0.1,163,19.1,NA,NA,NA,1.9,0,0,0,0,0,0
FCR,100,2016-05-30,0.1,222,32.4,8,48,8,1.6,0,0,0,0,0,0
FCR,50,2016-05-31,0.1,145.4,18.9,6,4,7,1.8,0,0,0,0,0,0
FCR,100,2016-05-31,0.1,167,19.7,6,46,7,1.4,0,0,0,0,0,0
FCR,50,2016-06-02,0.1,152.4,20.1,11,5,10,2.3,0,0,0,0,0,0
FCR,50,2016-06-06,0.1,193.4,20.2,15,4,6,1.9,0,0,0,0,0,0
FCR,100,2016-06-06,0.1,205,27.7,5,56,10,1.4,0,0,0,0,0,0
FCR,50,2016-06-13,0.1,214,19,6,7,10,2.1,0,0,0,0,0,0
FCR,100,2016-06-13,0.1,176,19.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-06-20,0.1,140.4,23.3,3,3,7,2.1,0,0,0,0,0,0
FCR,100,2016-06-20,0.1,254,31.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-06-27,0.1,170.4,21.1,8,3,7,2,0,0,0,0,0,0
FCR,100,2016-06-27,0.1,191,27,5,44,13,1.5,0,0,0,0,0,0
FCR,50,2016-06-28,0.1,204,23.2,3,2,11,1.7,0,0,0,0,0,0
FCR,100,2016-06-28,0.1,223,21.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-06-30,0.1,183,19.1,5,3,12,1.8,0,0,0,0,0,0
FCR,100,2016-06-30,0.1,194,18.6,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-07-05,0.1,188,16.7,10,5,4,2,0,0,0,0,0,0
FCR,100,2016-07-05,0.1,179,20.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-07-11,0.1,169.4,17.5,13,2,12,2,0,0,0,0,0,0
FCR,100,2016-07-11,0.1,144,16.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-07-18,0.1,178.4,21.5,3,2,12,1.9,0,0,0,0,0,0
FCR,100,2016-07-18,0.1,481,25,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-07-25,0.1,170.4,18.8,3,3,10,1.7,0,0,0,0,0,0
FCR,50,2016-07-25,0.1,160.4,20.6,4,3,10,3.7,0,0,0,0,0,0
FCR,100,2016-07-25,0.1,244,28.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-07-27,0.1,171.4,18.9,7,4,7,2,0,0,0,0,0,0
FCR,50,2016-08-01,0.1,150.4,17.9,6,4,12,2.1,0,0,0,0,0,0
FCR,100,2016-08-01,0.1,218,25.4,18,73,10,1.4,0,0,0,0,0,0
FCR,50,2016-08-08,0.1,199.4,22,8,3,11,2.1,0,0,0,0,0,0
FCR,100,2016-08-08,0.1,222,26.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2016-08-15,0.1,169.4,22,9,2,13,2.2,0,0,0,0,0,0
FCR,100,2016-08-15,0.1,227,24.3,13,101,13,1.6,0,0,0,0,0,0
