Reservoir,Site,Date,Depth_m,Elevation,Temp_C,pH,Fe_mgL,Mn_mgL,DO_mgL,Turbidity,Color,Algae_cellsmL
FCR,50,21-Aug-15,6.096,1643,16,6.2,2.65,1.56,6.72,13.7,155,1705000
FCR,50,25-Aug-15,0,1663,24.5,8,0.28,0.022,9.74,2.23,53,6039000
FCR,50,25-Aug-15,1.524,1658,24.3,7.7,0.32,0.062,9.7,2.19,59,7172000
FCR,50,25-Aug-15,3.6576,1651,17,6.4,2.97,1.406,6.71,13.6,308,2486000
FCR,50,25-Aug-15,6.096,1643,15.2,6.1,2.75,1.601,10.69,13.9,187,1474000
FCR,50,4-Sep-15,0,1663,25.4,8.5,0.4,0.026,7.74,2.06,41,6072000
FCR,50,4-Sep-15,1.524,1658,24.3,6.9,0.37,0.031,5.79,2.62,67,9317000
FCR,50,4-Sep-15,3.6576,1651,16.4,6.3,2.49,1.566,7.72,11.1,162,1793000
FCR,50,4-Sep-15,6.096,1643,15.5,6.4,2.41,1.549,8.25,11.7,156,1320000
FCR,50,12-Oct-15,0,1663,17.5,7.23,0.21,0.029,8.31,1.22,72,1991000
FCR,50,12-Oct-15,1.524,1658,17,6.77,0.22,0.028,6.99,1.3,56,1474000
FCR,50,12-Oct-15,3.6576,1651,16.6,6.65,0.24,0.041,9.46,1.23,46,935000
FCR,50,12-Oct-15,6.096,1643,16.1,6.57,0.62,0.278,4.84,1.91,83,
FCR,50,16-Oct-15,0,1663,17.5,6.89,0.19,0.003,7.77,1.4,55,847000
FCR,50,16-Oct-15,1.524,1658,17.2,6.65,0.19,0.011,7.63,1.34,53,792000
FCR,50,16-Oct-15,3.6576,1651,16.9,6.49,0.22,0.029,5.41,1.51,43,1265000
FCR,50,16-Oct-15,6.096,1643,16.3,6.52,0.52,0.213,3.22,1.52,56,1848000
