"Date","Site","Depth","Temp_C","DO_mgL","Chla_ugL","Turb_NTU","SpCond_uScm","TP_ugL","TN_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","TP_inf","TN_inf","NH4_inf","NO3NO2_inf","SRP_inf","DOC_inf","Total_chlorophyll","Green_algae","Cyanobacteria","Diatoms","Cryptophyta","Kd","TN_TP","NH4NO3NO2_SRP","TN_TP_inf","NH4NO3_SRP_inf","mean_flow","TN_load","TP_load","NH4_load","NO3NO2_load","SRP_load","DOC_load","mean_wrt","Temp_inf_mean","Temp_inf_max","Temp_inf_min","flow_max","flow_min","flow_median","AirTemp_max","AirTemp_mean","AirTemp_median","Rain_sum","RelHum_max","RelHum_mean","RelHum_median","ShortWave_max","ShortWave_mean","WindSpeed_max","WindSpeed_mean","WindSpeed_median","week_julian","week_series","week_cum"
"2014-05-22",50,0.1,20.0705,8.80407,0.9284,0.9281,32.35753672,13.54,163,5.5,2,4,1.95,NA,NA,9.5,15,4,1.9,1.29,1.25875,0.0875,1.5475,0.21,NA,12.0384047267356,1.875,NA,6.125,0.0960244825886252,NA,NA,0.91223258459194,1.44036723882938,0.384097930354501,0.182446516918388,37.3804806729819,17.1725,17.94,16.63,0.100987122404191,0.091732935868125,0.0955527929721967,29.25002441,22.9395907079167,22.700021365,0,87.68806204,69.5786526404167,70.272355235,903.1119995,314.0380429425,7.321338844,4.982680915375,4.6985337565,20,4,31
"2014-06-02",50,0.1,21.6818,8.95817,1.7893,0.6932,31.87351983,15.1,203,5,4,4,1.9,NA,NA,12,25,5,2.1,0.44,1.82,0.18,1.65,1.93,NA,13.4437086092715,2.25,NA,7.4,0.0994863108708914,NA,NA,1.1938357304507,2.48715777177229,0.497431554354457,0.208921252828872,36.0763086228125,18.2266666666667,19.13,17.38,0.103346618494695,0.094784671619937,0.0994242467499543,27.61000977,20.3654202783333,20.509988405,0,80.15589215,66.8620876958333,71.062819555,912.3759766,323.903457642083,4.765637623,3.34920272933333,3.385465922,21,5,32
"2014-06-09",50,0.1,22.9926,8.24252,0.8014,0.7099,32.14074108,23.8,166,6,2,5,1.9,NA,NA,14,49,10,1.9,1.19,0.92,0.19,0.98,1.21,NA,6.97478991596639,1.6,NA,6.3,0.0967619255364423,NA,NA,1.35466695751019,4.74133435128567,0.967619255364423,0.18384765851924,37.0913963768157,19.9798958333333,20.56,19.44,0.100987122404191,0.093254642533544,0.0967090997984823,31.04000244,24.7341718033333,25.20499573,0.002436,97.35787007,73.1885859725,70.753346785,908.0250244,294.60054095125,4.041447715,2.94659448483333,3.005002881,22,6,33
"2014-06-16",50,0.1,24.1882,8.27992,0.5594,0.5757,32.0795039,19.33333333,214.9,34,3,5,2.2,NA,NA,9,36,6,1.9,1.33,0.29,0.18,0.59,0.61,NA,11.1155172432958,7.4,NA,7.5,0.0956266297942159,NA,NA,0.860639668147943,3.44255867259177,0.573759778765295,0.18169059660901,37.543524365952,21.5202083333333,22.38,20.88,0.10020466891002,0.0902195973915888,0.0955527929721967,32.08001099,26.278343455,26.90003357,0.0008592,81.63330709,63.7769443004167,65.7169963,824.4829712,268.70587316875,4.284530397,3.01842560891667,2.9867423235,23,7,34
"2014-06-19",50,0.1,25.7921,8.50906,0.9522,0.2735,32.347838,19.76666667,183.25,21.5,3.5,5,2.1,NA,NA,8.5,32.5,5.5,1.85,0.91,0.93,0.11,1.005,0.81,NA,9.27065767128657,5,NA,7.45454545454545,0.0966575855743609,NA,NA,0.821589477382067,3.14137153116673,0.531616720658985,0.178816533312568,37.1319557240157,22.1715625,22.69,21.75,0.100987122404191,0.093254642533544,0.0970952214947282,32.68999634,26.5304237375,26.50499878,0,82.79636187,62.9717380533333,62.02074779,874.0369873,286.98841556375,7.282945717,5.14916048183333,4.668998866,24,8,35
"2014-06-25",50,0.1,25.306,8.17342,2.1821,0.7267,32.75516118,17.65,216.8,6.5,2,6,2.15,NA,NA,7.5,27.5,5.5,1.95,0.81,1.233333333,0.11,1.366666667,0.836666667,NA,12.2832861189802,1.41666666666667,NA,6.36363636363636,0.0964369732757915,NA,NA,0.723277299568436,2.65201676508426,0.530403353016853,0.188052097887793,37.2272526879361,23.4425,23.94,22.88,0.104137145129819,0.091732935868125,0.096322978102235,28.23000488,23.8529182441667,22.995004275,0.022056,92.05053625,78.30107485625,82.19050528,641.2800293,205.115876355833,4.961814315,3.56391907108333,3.4924630675,25,9,36
"2014-07-02",50,0.1,26.5658,8.18846,0.9205,0.391,32.88923586,12.45,280.6666667,5,1,8,1.866666667,NA,NA,9,24,8,1.966666667,2.003333333,0.68,0.343333333,0.993333333,0.59,-1.186084294,22.5435073654618,0.75,NA,4.125,0.0976899377509092,NA,NA,0.879209439758183,2.34455850602182,0.781519502007274,0.192123544276018,36.7418258239276,24.4198958333333,25.06,23.88,0.100987122404191,0.094784671619937,0.0970952214947295,36.11000977,29.98666661625,29.9999939,0.0126624,82.53170583,58.9630524995833,57.17909791,880.4680176,310.57933790875,5.359552266,3.38783809279167,3.3022044355,26,10,37
"2014-07-09",50,0.1,25.3279,7.79643,1.0672,0.4917,32.65445574,14.13333333,267.5,5,1,7.5,2.1,NA,NA,12,27,8.5,2.05,1.485,1.08,0.405,1.25,1.345,NA,18.9268867969167,0.8,NA,4.58823529411765,0.0979145146287323,NA,NA,1.17497417554479,2.64369189497577,0.832273374344225,0.200724754988901,36.6714907181263,23.5197916666667,24,23.19,0.112964201786517,0.0940186196053601,0.0974823695865316,30.86000977,25.6216712954167,25.810006715,0.191863201,80.3032738,64.50964815375,67.32172476,680.1779785,240.942833263333,5.370437612,4.00970057758333,3.8886526025,27,11,38
"2014-07-16",50,0.1,25.6007,7.94724,1.4521,0.4917,32.45668643,14.8,181.8,2.5,1,10,2.35,NA,NA,18.5,41,7,2.2,0.84,1.605,0.595,1.805,2.07,NA,12.2837837837838,0.35,NA,8.5,0.0944207566842058,NA,NA,1.74678399865781,3.87125102405244,0.66094529678944,0.207725664705253,38.0079710374753,23.0546875,23.69,22.44,0.0994242467499536,0.0894660807348132,0.094784671619937,27.94002686,21.96875406875,21.499993895,0,85.88243998,55.2617643408333,50.48499576,946.1469727,335.919164650417,4.370011444,3.57128669758333,3.7046408785,28,12,39
"2014-07-23",50,0.1,25.0366,8.15769,1.337,0.4917,32.93717194,14,152.65,7.5,1.5,9.5,2.35,NA,NA,16,43,6,2.2,1.065,1.85,0.925,2.075,1.82,NA,10.9035714285714,0.947368421052632,NA,9.83333333333333,0.0879695976249528,NA,NA,1.40751356199924,3.78269269787297,0.527817585749717,0.193533114774896,40.8192185618382,24.39125,25.06,23.56,0.0970952214947282,0.0835143968885665,0.0872182119157758,34.68999634,27.97292099,27.720025635,0,88.12678757,62.4301859283333,60.70849236,833.4429932,286.887955828333,5.132533553,3.50421034675,3.39038972,29,13,40
