"Date","Depth","TPinf_interp"
2014-05-06,1.6,NA
2014-05-06,2.8,NA
2014-05-06,3.8,NA
2014-05-06,5,NA
2014-05-06,5.2,NA
2014-05-06,5.5,NA
2014-05-06,5.8,NA
2014-05-06,6,NA
2014-05-06,6.2,NA
2014-05-06,8,NA
2014-05-06,9,NA
2014-05-06,9.3,NA
2014-05-07,0.1,NA
2014-05-07,1,NA
2014-05-07,1.6,NA
2014-05-07,2.8,NA
2014-05-07,3.8,NA
2014-05-07,5,NA
2014-05-07,5.2,NA
2014-05-07,5.5,NA
2014-05-07,5.8,NA
2014-05-07,6,NA
2014-05-07,6.2,NA
2014-05-07,8,NA
2014-05-07,9,NA
2014-05-07,9.3,NA
2014-05-08,0.1,NA
2014-05-08,1,NA
2014-05-08,1.6,NA
2014-05-08,2.8,NA
2014-05-08,3.8,NA
2014-05-08,5,NA
2014-05-08,5.2,NA
2014-05-08,5.5,NA
2014-05-08,5.8,NA
2014-05-08,6,NA
2014-05-08,6.2,NA
2014-05-08,8,NA
2014-05-08,9,NA
2014-05-08,9.3,NA
2014-05-09,0.1,NA
2014-05-09,1,NA
2014-05-09,1.6,NA
2014-05-09,2.8,NA
2014-05-09,3.8,NA
2014-05-09,5,NA
2014-05-09,5.2,NA
2014-05-09,5.5,NA
2014-05-09,5.8,NA
2014-05-09,6,NA
2014-05-09,6.2,NA
2014-05-09,8,NA
2014-05-09,9,NA
2014-05-09,9.3,NA
2014-05-10,0.1,NA
2014-05-10,1,NA
2014-05-10,1.6,NA
2014-05-10,2.8,NA
2014-05-10,3.8,NA
2014-05-10,5,NA
2014-05-10,5.2,NA
2014-05-10,5.5,NA
2014-05-10,5.8,NA
2014-05-10,6,NA
2014-05-10,6.2,NA
2014-05-10,8,NA
2014-05-10,9,NA
2014-05-10,9.3,NA
2014-05-12,0.1,NA
2014-05-12,1,NA
2014-05-12,1.6,NA
2014-05-12,2.8,NA
2014-05-12,3.8,NA
2014-05-12,5,NA
2014-05-12,5.2,NA
2014-05-12,5.5,NA
2014-05-12,5.8,NA
2014-05-12,6,NA
2014-05-12,6.2,NA
2014-05-12,8,NA
2014-05-12,9,NA
2014-05-12,9.3,NA
2014-05-14,0.1,NA
2014-05-14,1,NA
2014-05-14,1.6,NA
2014-05-14,2.8,NA
2014-05-14,3.8,NA
2014-05-14,5,NA
2014-05-14,5.2,NA
2014-05-14,5.5,NA
2014-05-14,5.8,NA
2014-05-14,6,NA
2014-05-14,6.2,NA
2014-05-14,8,NA
2014-05-14,9,NA
2014-05-14,9.3,NA
2014-05-15,0.1,NA
2014-05-15,1,NA
2014-05-15,1.6,NA
2014-05-15,2.8,NA
2014-05-15,3.8,NA
2014-05-15,5,NA
2014-05-15,5.2,NA
2014-05-15,5.5,NA
2014-05-15,5.8,NA
2014-05-15,6,NA
2014-05-15,6.2,NA
2014-05-15,8,NA
2014-05-15,9,NA
2014-05-15,9.3,NA
2014-05-19,0.1,NA
2014-05-19,1,NA
2014-05-19,1.6,NA
2014-05-19,2.8,NA
2014-05-19,3.8,NA
2014-05-19,5,NA
2014-05-19,5.2,NA
2014-05-19,5.5,NA
2014-05-19,5.8,NA
2014-05-19,6,NA
2014-05-19,6.2,NA
2014-05-19,8,NA
2014-05-19,9,NA
2014-05-19,9.3,NA
2014-05-22,0.1,NA
2014-05-22,1,NA
2014-05-22,1.6,NA
2014-05-22,2.8,NA
2014-05-22,3.8,NA
2014-05-22,5,NA
2014-05-22,5.2,NA
2014-05-22,5.5,NA
2014-05-22,5.8,NA
2014-05-22,6,NA
2014-05-22,6.2,NA
2014-05-22,8,NA
2014-05-22,9,NA
2014-05-22,9.3,NA
2014-05-26,0.1,NA
2014-05-26,1,NA
2014-05-26,1.6,NA
2014-05-26,2.8,NA
2014-05-26,3.8,NA
2014-05-26,5,NA
2014-05-26,5.2,NA
2014-05-26,5.5,NA
2014-05-26,5.8,NA
2014-05-26,6,NA
2014-05-26,6.2,NA
2014-05-26,8,NA
2014-05-26,9,NA
2014-05-26,9.3,NA
2014-05-28,0.1,NA
2014-05-28,1,NA
2014-05-28,1.6,NA
2014-05-28,2.8,NA
2014-05-28,3.8,NA
2014-05-28,5,NA
2014-05-28,5.2,NA
2014-05-28,5.5,NA
2014-05-28,5.8,NA
