FlowmeterSensorID,Date,Site,Width,WidthInterval_m,Depth_cm,Velocity,Velocity_unit,Depth_m,Velocity_m/s,Discharge,Notes
Model FP III,2019-04-29,F01 Section 2,3,0.25,2.5,1.3,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,2019-04-29,F01 Section 2,3.25,0.25,2,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,2019-04-29,F01 Section 2,3.26,0.25,0,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"""
Model FP III,2019-04-29,F01 Section 3,0,0.25,0,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,0.25,0.25,5,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,0.5,0.25,6,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,0.75,0.25,6,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,1,0.25,9,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,1.25,0.25,9.5,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,1.5,0.25,10,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,1.75,0.25,10,0.2,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,2,0.25,10.5,0.5,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,2.25,0.25,10.5,0.2,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,2.5,0.25,10,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,2.75,0.25,10,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,3,0.25,9.5,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
Model FP III,2019-04-29,F01 Section 3,3.25,0.25,9.5,0,ft_s,,,,"See picture on data sheet with bridge and ""sections"". This section has sediment and plants building up and little to no flow."
MMB_2000656,2019-04-29,B100,0.1,0.1,3,0,m_s,,,,
MMB_2000657,2019-04-29,B100,0.2,0.1,10,0.3,m_s,,,,
MMB_2000658,2019-04-29,B100,0.3,0.1,10,0.24,m_s,,,,
MMB_2000659,2019-04-29,B100,0.4,0.1,12,0.36,m_s,,,,
MMB_2000660,2019-04-29,B100,0.5,0.1,12,0.3,m_s,,,,
MMB_2000661,2019-04-29,B100,0.6,0.1,10.5,0.3,m_s,,,,
MMB_2000662,2019-04-29,B100,0.7,0.1,9.5,0.12,m_s,,,,
MMB_2000663,2019-04-29,B200,0.1,0.1,0,0,m_s,,,,
MMB_2000664,2019-04-29,B200,0.2,0.1,9,0.12,m_s,,,,
MMB_2000665,2019-04-29,B200,0.3,0.1,19,0.25,m_s,,,,
MMB_2000666,2019-04-29,B200,0.4,0.1,20.5,0.2,m_s,,,,
MMB_2000667,2019-04-29,B200,0.5,0.1,9,-0.04,m_s,,,,
Maddy,2019-06-10,F100,0.25,0.25,0,0,m_s,,,,
Maddy,2019-06-10,F100,0.5,0.25,11,0.1,m_s,,,,
Maddy,2019-06-10,F100,0.75,0.25,13,0.3,m_s,,,,
Maddy,2019-06-10,F100,1,0.25,12,0.4,m_s,,,,
Maddy,2019-06-10,F100,1.25,0.25,14,0.4,m_s,,,,
Maddy,2019-06-10,F100,1.5,0.25,14,0.2,m_s,,,,
Maddy,2019-06-10,F100,1.75,0.25,12.5,0.2,m_s,,,,
Maddy,2019-06-10,F100,2,0.25,13,0.3,m_s,,,,
Maddy,2019-06-10,F100,2.25,0.25,17,0.2,m_s,,,,
Maddy,2019-06-10,F100,2.5,0.25,13,0.01,m_s,,,,
Maddy,2019-06-10,F100,2.75,0.25,14,0.01,m_s,,,,
Maddy,2019-06-10,F100,3,0.25,16.5,0.01,m_s,,,,
Maddy,2019-06-10,F100,3.25,0.25,20,0.01,m_s,,,,
Maddy,2019-06-10,F100,3.5,0.25,26,0.01,m_s,,,,
Maddy,2019-06-10,F100,3.75,0.25,20,0.01,m_s,,,,
Maddy,2019-06-10,F100,4,0.25,11,0.01,m_s,,,,
Maddy,2019-06-10,F100,4.25,0.25,8,0.01,m_s,,,,
