"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Density_mg_m3","Flag","Pressure..PSI."
2019-06-10 09:59:09,0.1,21.6169,2.7814,1.4766,30.574508,32.78,8.7112,98.888,8.733,269.0017,86.588,0.0218,1,997.8749,0,NA
2019-06-10 09:59:09,1,21.2652,3.2735,1.318,30.381415,32.83,8.6816,97.686,8.645,275.2103,45.649,0.0217,1,997.9511,0,NA
2019-06-10 09:59:09,1.6,20.9721,2.1062,1.5776,30.402178,33.05,8.5361,95.339,8.595,280.0939,30.58,0.0217,1,998.0209,0,NA
2019-06-10 09:59:09,2.8,17.7555,2.6212,1.145,27.196034,31.828,12.3374,126.971,8.556,288.1953,11.75,0.0202,1,998.6701,0,NA
2019-06-10 09:59:09,3.8,13.4671,2.9721,0.6259,24.64812,31.811,9.4092,88.649,8.561,296.4103,6.4247,0.0186,1,999.3142,0,NA
2019-06-10 09:59:09,5,9.9544,2.6479,1.7073,24.392939,34.878,5.9376,52.53,8.537,304.3225,3.1838,0.0183,1,999.7423,0,NA
2019-06-10 09:59:09,5.2,9.9354,1.8697,3.3512,24.389163,34.912,5.9002,52.183,8.522,303.9818,2.7845,0.0183,1,999.746,0,NA
2019-06-10 09:59:09,5.5,9.9266,1.4424,3.7117,24.360698,34.846,5.8906,52.091,8.507,306.5182,1.9014,0.0182,1,999.7486,0,NA
2019-06-10 09:59:09,5.8,9.9227,1.595,3.8126,24.361083,34.851,5.8585,51.789,8.491,307.6918,1.3374,0.0182,1,999.7505,0,NA
2019-06-10 09:59:09,6,9.9101,1.6751,3.9424,24.375976,34.89,5.9073,52.221,8.483,309.8497,1.0401,0.0183,1,999.7513,0,NA
2019-06-10 09:59:09,6.2,9.9016,1.6103,3.8126,24.396537,34.948,5.9193,52.302,8.475,308.1082,0.77518,0.0183,1,999.7539,0,NA
2019-06-10 09:59:09,8,9.8781,1.595,4.0578,24.368887,34.932,5.9472,52.536,8.392,307.5404,0.12352,0.0183,1,999.7645,0,NA
2019-06-10 09:59:09,9,9.8561,1.6026,4.2741,24.363871,34.954,5.825,51.432,8.352,310.7961,0.12377,0.0183,1,999.771,0,NA
2019-06-10 09:59:09,9.3,9.8534,1.4539,4.0001,24.339797,34.917,5.7932,51.156,8.338,311.5911,0.12386,0.0182,1,999.7725,0,NA
2019-06-10 13:12:02,0.1,21.8045,1.8277,1.3757,30.813532,32.908,7.6841,87.464,9.345,257.5688,506.41,0.0219,1,997.83,0,NA
2019-06-10 13:12:02,1,21.7012,2.3618,1.6208,30.710075,32.895,7.1395,81.132,9.009,264.1181,288.72,0.0219,1,997.8586,0,NA
2019-06-10 13:12:02,1.6,21.5072,2.1596,1.8804,30.629166,32.903,7.0585,79.898,8.862,270.3267,189.03,0.0218,1,997.9019,0,NA
2019-06-10 13:12:02,2.8,17.8741,2.3122,1.0873,27.255558,31.696,12.2697,127.576,8.659,279.5639,72.348,0.0202,1,998.6297,0,NA
2019-06-10 13:12:02,3.8,14.3001,2.6097,0.7268,25.010125,31.771,10.4665,98.565,8.572,287.0217,38.981,0.0189,1,999.228,0,NA
2019-06-10 13:12:02,5,10.0851,2.6898,1.6641,24.517788,34.835,5.9831,53.006,8.508,297.281,19.031,0.0184,1,999.724,0,NA
2019-06-10 13:12:02,5.2,10.0091,2.255,2.7167,24.556931,35.068,5.9822,52.963,8.493,298.1139,16.26,0.0184,1,999.7389,0,NA
2019-06-10 13:12:02,5.5,9.9689,1.595,3.481,24.458593,34.957,5.9181,52.382,8.476,297.8489,12.29,0.0183,1,999.7444,0,NA
2019-06-10 13:12:02,5.8,9.9984,1.4157,3.8703,24.495331,35.015,5.8708,51.93,8.444,299.1739,8.2351,0.0183,1,999.7439,0,NA
2019-06-10 13:12:02,6,9.9371,1.5263,3.7838,24.411891,34.932,5.9408,52.536,8.434,301.8618,6.7485,0.0183,1,999.748,0,NA
2019-06-10 13:12:02,6.2,9.9216,1.5225,3.8126,24.423507,34.964,5.9846,52.931,8.424,301.7482,5.1315,0.0183,1,999.7519,0,NA
2019-06-10 13:12:02,8,9.9031,1.5263,4.1299,24.394076,34.947,5.9376,52.479,8.337,300.9532,0.53649,0.0183,1,999.7621,0,NA
2019-06-10 13:12:02,9,9.8803,1.5225,4.0866,24.381596,34.97,5.8903,52.037,8.29,301.8996,0.12344,0.0183,1,999.769,0,NA
2019-06-10 13:12:02,9.3,9.8765,1.3623,3.8992,24.427375,35.015,5.8681,51.838,8.281,302.4675,0.12383,0.0183,1,999.7708,0,NA
2019-06-13 13:16:19,0.1,21.6123,1.7481,1.8264,33.004,30.747371,9.0006,102.114,9.285,262.4291,211.63,1.8582818347528,1,997.8763,0,NA
2019-06-13 13:16:19,1,21.4024,2.416,1.7685,32.941,30.536658,8.9959,101.605,8.948,262.5337,101.09,1.86337367866265,1,997.9268,0,NA
2019-06-13 13:16:19,1.6,20.8938,2.3854,2.2904,33.104,30.301148,9.4625,105.66,8.705,266.3533,62.316,1.89502164914321,1,998.0405,0,NA
2019-06-13 13:16:19,2.8,18.0409,3.1186,1.7246,32.125,27.537214,12.4055,130.664,8.452,278.8263,21.716,1.96276744703347,1,998.6176,0,NA
2019-06-13 13:16:19,3.8,13.348,4.2321,0.8261,32.891,24.937932,8.6464,81.899,8.415,290.5906,10.784,2.26220007251653,1,999.3662,0,NA
2019-06-13 13:16:19,5,10.1932,2.0158,3.2962,35.264,24.803719,6.5495,58.258,8.304,302.7838,4.5789,2.64916521677453,1,999.7227,0,NA
2019-06-13 13:16:19,5.2,10.1753,2.0858,3.2892,35.299,24.824304,6.6358,59.016,8.288,304.4613,3.6928,2.65324850161829,1,999.7252,0,NA
2019-06-13 13:16:19,5.5,10.1564,1.882,3.5342,35.334,24.848411,6.6285,58.949,8.27,304.8442,2.6944,2.65740456532049,1,999.7283,0,NA
2019-06-13 13:16:19,5.8,10.1584,1.8166,3.3818,35.295,24.816138,6.546,58.206,8.25,305.3284,1.9689,2.65413276571724,1,999.7295,0,NA
2019-06-13 13:16:19,6,10.1355,1.8736,3.5287,35.276,24.789063,6.6672,59.257,8.234,306.2124,1.571,2.65427083847456,1,999.7326,0,NA
2019-06-13 13:16:19,6.2,10.1274,1.8237,3.3313,35.299,24.800697,6.7071,59.601,8.215,305.886,1.3013,2.65668991725521,1,999.7342,0,NA
2019-06-13 13:16:19,8,10.1232,1.5203,3.3677,35.334,24.816639,6.6983,59.506,8.089,310.9921,0.15708,2.659720910713,1,999.743,0,NA
2019-06-13 13:16:19,9,10.1177,1.424,3.5555,35.283,24.786555,6.696,59.498,8.034,314.2596,0.36356,2.65600436246131,1,999.7482,0,NA
2019-06-13 13:16:19,9.3,10.1106,1.527,3.5371,35.3,24.787818,6.701,59.52,8.024,313.7638,0.1236,2.65786823415493,1,999.7502,0,NA
2019-06-17 09:56:47,0.1,23.4395,0.8472,1.5262,34.327,33.266426,6.2705,73.733,8.494,286.3259,1052.4,1.8596635493585,1,997.4527,0,NA
2019-06-17 09:56:47,1,23.3641,1.4759,1.5663,33.973,32.802985,6.9949,81.977,8.361,291.4005,360.19,1.8424071817256,1,997.4747,0,NA
2019-06-17 09:56:47,1.6,21.3419,1.7169,2.2403,33.365,30.81709,8.6306,97.156,8.35,291.0624,273.67,1.89137332640132,1,997.943,0,NA
2019-06-17 09:56:47,2.8,18.5916,2.4698,1.713,32.92,28.611491,10.6033,113.053,8.305,302.888,80.493,1.98792936854977,1,998.5143,0,NA
