"","Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","SpCond_calc"
"95","FCR",50,2017-05-04,0.506,17.1867,8.49427,30.911948,NA,0.8216,2.5443,NA,NA,36.3342553534434
"96","FCR",50,2014-05-05,0.098,16.9798,8.70707,29.201957,NA,0.4959,1.5492,NA,NA,34.4844922176433
"97","FCR",50,2015-05-05,0.438,18.0305,9.23404,26.799358,NA,0.7221,5.7558,NA,NA,30.9146354370612
"98","FCR",50,2014-05-06,0.338,16.1076,9.19697,27.86418,NA,0.5991,1.3478,NA,NA,33.5650265668408
"99","FCR",50,2014-05-06,1.333,14.5449,9.57906,26.020244,NA,1.3291,1.7338,NA,NA,32.5128042331824
"100","FCR",50,2014-05-06,0.1,16.4702,9.47371,27.610788,NA,0.5436,1.3478,NA,NA,32.9846143171695
"101","FCR",50,2014-05-06,0.105,16.6834,8.82835,28.743416,NA,0.6348,1.2638,NA,NA,34.1714504380143
"102","FCR",50,2014-05-06,0.186,16.7569,8.80208,28.842741,NA,0.6745,1.3645,NA,NA,34.2323999311667
"103","FCR",50,2014-05-07,0.109,17.578,9.01656,29.075154,NA,0.6745,1.2638,NA,NA,33.8776575031827
"104","FCR",50,2014-05-07,0.215,17.7848,8.76157,29.466626,NA,0.8213,1.3478,NA,NA,34.1765004656516
"105","FCR",50,2015-05-07,0.085,19.6856,8.80926,27.790956,NA,1.8964,6.7171,NA,NA,30.9305641514116
"106","FCR",50,2015-05-07,0.409,19.1933,9.23192,27.692979,NA,2.2813,5.3438,NA,NA,31.1474831238786
"107","FCR",50,2017-05-07,0.515,14.9571,8.5753,27.313151,NA,1.3371,8.1861,NA,NA,33.7958504102196
"108","FCR",50,2014-05-08,0.1,20.2692,8.73321,30.883489,NA,0.6229,0.9449,NA,NA,33.9512670988749
"109","FCR",50,2013-05-09,0.523,14.6519,8.77974,29.370787,NA,0.0714,0.1896,NA,NA,36.605894906706
"110","FCR",50,2014-05-09,0.069,20.4072,8.51175,31.325347,NA,0.7776,0.7771,NA,NA,34.337519354856
"111","FCR",50,2017-05-09,0.536,15.0035,8.96897,26.926592,NA,2.0693,6.093,NA,NA,33.2810471718128
"112","FCR",50,2016-06-01,0.364,22.5306,11.05607,30.430834,NA,2.6023,3.3063,NA,NA,31.9371677636428
"113","FCR",50,2015-06-11,0.155,25.2279,8.16375,33.711043,NA,1.0672,1.5329,NA,NA,33.5649385147884
"114","FCR",50,2015-06-11,0.096,24.7237,7.43713,27.612912,NA,0.4523,1.3441,NA,NA,27.7594075542684
"115","FCR",50,2014-06-12,0.277,23.5599,8.87919,30.978824,NA,2.0115,0.7603,NA,NA,31.8550254634452
"116","FCR",50,2013-06-13,0.516,23.6155,8.96649,36.11867,NA,2.3249,2.0695,NA,NA,37.0997334976245
"117","FCR",50,2016-06-13,0.49,23.2914,5.73603,32.67085,NA,1.1124,1.484,NA,NA,33.7730070945039
"118","FCR",50,2015-06-15,0.099,27.3688,7.63455,35.195945,NA,0.6467,2.8375,NA,NA,33.6724652867682
"119","FCR",50,2014-06-16,0.09,24.1882,8.27992,31.582099,NA,0.5594,0.5757,NA,NA,32.0795038981523
"120","FCR",50,2015-06-18,0.088,27.4068,7.30626,29.299333,NA,0.5356,1.6702,NA,NA,28.0116412147547
"121","FCR",50,2015-06-18,0.1,28.4684,7.50185,29.632428,NA,20.3327,1092.9897,NA,NA,27.7913499997243
"122","FCR",50,2015-06-18,0.1,28.58,7.47295,29.963099,NA,20.5112,1093.1442,NA,NA,28.0454099578988
"123","FCR",50,2015-06-18,0.163,28.47,7.5042,29.765874,NA,0.6626,1.4986,NA,NA,27.915704830921
"124","FCR",50,2015-06-18,0.257,28.1984,7.47468,29.876014,NA,0.976,1.5329,NA,NA,28.1559808945041
"125","FCR",50,2015-06-18,0.197,27.8875,7.53615,29.59752,NA,1.5314,1.8591,NA,NA,28.0504998690946
"126","FCR",50,2015-06-18,0.097,29.3229,6.45676,30.357186,NA,1.345,1.6702,NA,NA,28.0418441202076
"127","FCR",50,2015-06-18,0.098,28.9589,7.49323,30.06259,NA,2.0035,2.271,NA,NA,27.9492107115391
"128","FCR",50,2015-06-18,0.101,28.6164,7.49567,29.901537,NA,1.706,2.2024,NA,NA,27.9695870041607
"129","FCR",50,2015-06-18,0.1,28.4378,7.51416,29.84483,NA,1.7417,2.1337,NA,NA,28.0059067134965
"130","FCR",50,2015-06-18,0.125,28.1888,7.48742,29.315599,NA,1.5592,2.4255,NA,NA,27.6326053292107
"131","FCR",50,2015-06-18,0.1,28.1116,7.44027,29.631662,NA,1.5949,2.3912,NA,NA,27.9693970981948
"132","FCR",50,2015-06-18,0.1,27.9402,7.4717,29.543565,NA,1.6306,2.4599,NA,NA,27.9726802571987
"133","FCR",50,2015-06-18,0.104,27.7419,7.3389,29.408388,NA,1.3727,2.4942,NA,NA,27.9449052101233
"134","FCR",50,2015-06-18,0.124,27.6309,7.33207,29.31664,NA,1.4203,2.4599,NA,NA,27.9139582921666
"135","FCR",50,2014-06-19,0.089,25.7921,8.50906,32.837232,NA,0.9522,0.2735,NA,NA,32.3478380006263
"136","FCR",50,2015-06-19,0.364,27.4286,7.2619,29.307623,NA,1.5751,2.4427,NA,NA,28.0084172741335
"137","FCR",50,2015-06-19,0.343,27.0195,7.32122,28.978054,NA,0.6983,2.1852,NA,NA,27.9018127238018
"138","FCR",50,2015-06-19,0.1,27.1113,7.31937,29.000122,NA,0.8768,2.168,NA,NA,27.8759991953675
"139","FCR",50,2015-06-19,0.107,27.3244,7.09169,29.178753,NA,1.3093,2.4084,NA,NA,27.938398732343
"140","FCR",50,2015-06-19,0.099,26.0711,4.23441,27.394692,NA,1.3212,2.4255,NA,NA,26.8454867633407
"141","FCR",50,2015-06-19,0.125,27.1681,7.19455,29.223552,NA,1.3291,2.4942,NA,NA,28.0615051481466
"142","FCR",50,2015-06-19,0.162,27.0944,7.19132,29.089569,NA,1.3331,2.477,NA,NA,27.970657662693
"143","FCR",50,2015-06-19,0.115,26.9958,7.19878,29.202326,NA,1.3648,2.4427,NA,NA,28.1300159794663
"144","FCR",50,2015-06-19,0.357,26.9012,6.98043,28.959876,NA,1.702,2.4255,NA,NA,27.9451075453156
"145","FCR",50,2015-06-19,0.15,26.7253,5.77935,28.580727,NA,1.4045,2.3912,NA,NA,27.6689458631152
"146","FCR",50,2015-06-19,0.102,26.889,7.26989,28.856227,NA,1.1506,2.1337,NA,NA,27.8513529699785
"147","FCR",50,2014-06-02,0.13,21.6818,8.95817,29.853452,NA,1.7893,0.6932,NA,NA,31.8735198277026
"148","FCR",50,2016-06-02,0.446,24.8486,7.30934,31.962402,NA,1.5351,2.7753,NA,NA,32.0550970062168
"149","FCR",50,2013-06-20,0.501,22.9495,7.45937,36.102831,NA,1.8925,0.7267,NA,NA,37.5744160979906
"150","FCR",50,2016-06-20,0.685,24.8002,9.09661,33.594599,NA,1.5726,1.8642,NA,NA,33.7232931568794
"151","FCR",50,2015-06-22,0.178,26.9725,7.8561,35.276923,NA,1.3251,2.2367,NA,NA,33.9961273992646
"152","FCR",50,2014-06-23,0.101,24.9734,8.17872,32.410557,NA,2.4003,0.7939,NA,NA,32.4270318778158
"153","FCR",50,2015-06-23,0.123,26.3809,7.97504,35.313255,NA,0.8609,2.6144,NA,NA,34.4057956038474
"154","FCR",50,2015-06-23,0.159,27.0658,8.01651,36.161764,NA,1.5235,2.6487,NA,NA,34.7890982056993
"155","FCR",50,2015-06-23,0.102,27.1195,8.01046,36.268671,NA,1.3489,2.3569,NA,NA,34.8575518981603
"156","FCR",50,2016-06-23,0.839,23.382,7.09989,32.423129,NA,4.2377,1.5744,NA,NA,33.457079905999
"157","FCR",50,2013-06-25,0.512,26.0938,9.11066,39.39889,NA,1.1268,1.0456,NA,NA,38.5926290037577
"158","FCR",50,2014-06-25,0.282,25.306,8.17342,32.946602,NA,2.1821,0.7267,NA,NA,32.7551611849385
"159","FCR",50,2015-06-25,0.092,27.9371,7.36609,30.383447,NA,2.555,519.3573,NA,NA,28.7695170813642
"160","FCR",50,2016-06-26,0.488,24.5176,7.27085,32.858291,NA,2.9413,1.6667,NA,NA,33.1638574765719
"161","FCR",50,2013-06-27,0.529,25.412,9.16612,39.268544,NA,0.369,1.3478,NA,NA,38.9619446650418
"162","FCR",50,2016-06-27,0.436,23.2695,8.20143,32.218124,NA,1.42,1.3496,NA,NA,33.319415651802
"163","FCR",50,2016-06-27,0.268,24.6983,8.38501,32.746882,NA,3.0818,1.4083,NA,NA,32.9366786224616
"164","FCR",50,2016-06-27,0.292,23.7904,8.51666,32.488086,NA,2.5771,1.3727,NA,NA,33.2564210682514
"165","FCR",50,2016-06-27,0.531,23.3655,6.47114,31.795812,NA,3.7004,1.4233,NA,NA,32.8204314070759
"166","FCR",50,2016-06-28,0.571,24.4025,6.47935,33.614487,NA,2.0193,1.612,NA,NA,34.0025324003863
"167","FCR",50,2016-06-28,0.504,22.874,9.04767,31.92119,NA,3.7652,1.9772,NA,NA,33.2722634948291
"168","FCR",50,2017-06-28,0.305,23.6346,8.261,35.493695,NA,NA,NA,8.905,188.7313,36.4441264765599
"169","FCR",50,2014-06-29,0.223,25.152,8.05303,32.761628,NA,1.4402,0.7603,NA,NA,32.6667897759225
"170","FCR",50,2014-06-29,0.164,25.1586,8.08957,32.807674,NA,1.8409,1.0792,NA,NA,32.708591173103
"171","FCR",50,2014-06-29,0.094,25.2141,8.15673,32.950089,NA,1.5394,0.7267,NA,NA,32.8158946339146
"172","FCR",50,2014-06-29,0.391,25.2475,8.17832,33.042691,NA,1.5314,0.7603,NA,NA,32.887224866251
"173","FCR",50,2014-06-29,0.099,25.5807,8.11423,35.187797,NA,1.3053,0.8274,NA,NA,34.8017973884991
"174","FCR",50,2015-06-29,0.22,24.361,8.82549,35.374757,NA,2.0273,2.7002,NA,NA,35.8118368880348
"175","FCR",50,2014-06-03,0.305,22.4756,8.21045,30.745474,NA,0.9403,0.4749,NA,NA,32.3029965749791
"176","FCR",50,2014-06-03,0.092,22.673,8.32303,30.934965,NA,1.2616,0.4582,NA,NA,32.3738431191194
"177","FCR",50,2014-06-03,0.098,22.8173,8.34397,31.148207,NA,1.4005,0.4917,NA,NA,32.5032536690642
"178","FCR",50,2014-06-03,0.057,23.1991,8.38118,31.198255,NA,1.2894,0.4917,NA,NA,32.30961496477
